epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3972.2,1.27828,0.79365,1.15857,0.89565,0.90901,0.8733,0.52591,1.37912,0.72419,1.13569,0.000666541,0.000666541,0.000666541
2,7938.43,1.26487,0.78631,1.15633,0.94197,0.92127,0.93563,0.57341,1.34386,0.69543,1.11269,0.00106923,0.00106923,0.00106923
3,11214.2,1.24294,0.73823,1.14113,0.9334,0.92636,0.93454,0.58625,1.30101,0.63578,1.10159,0.00120792,0.00120792,0.00120792
4,14436.6,1.19829,0.68476,1.11866,0.95365,0.93618,0.95371,0.62068,1.24524,0.59441,1.06706,0.000812,0.000812,0.000812
5,17711.6,1.14428,0.62292,1.09345,0.96595,0.94471,0.96722,0.61613,1.28385,0.55633,1.07502,0.000416,0.000416,0.000416
